Year,Decade,City,State,Country,Latitude,Longitude
2007,2000s,St. Louis,MO,USA,38.627003,-90.199402
2008,2000s,Montreal,QC,Canada,45.501689,-73.567256
2009,2000s,Portland,OR,USA,45.505106,-122.675026
2010,2010s,Providence,RI,USA,41.824,-71.412835
2011,2010s,Minneapolis,MN,USA,44.977753,-93.265011
2012,2010s,Vancouver,BC,Canada,49.282729,-123.120738
2013,2010s,Albuquerque,NM,USA,35.084385,-106.650421
2014,2010s,Chattanooga,TN,USA,35.045628,-85.30968
2015,2010s,Reno,NV,USA,39.529633,-119.813803
2016,2010s,New Orleans,LA,USA,29.951065,-90.071533
2017,2010s,Austin,TX,USA,30.267153,-97.743057
2018,2010s,Rochester,NY,USA,43.156578,-77.608849
2019,2010s,Snowbird,UT,USA,40.586111,-111.654444
2021,2020s,Phoenix,AZ,USA,33.448376,-112.074036
2022,2020s,Spokane,WA,USA,47.65878,-117.426048
2023,2020s,Norfolk,VA,USA,36.850769,-76.285873
2024,2020s,Pittsburgh,PA,USA,40.440624,-79.995888
2025,2020s,St. Paul,MN,USA,44.953703,-93.089958
2026,2020s,New Orleans,LA,USA,29.951065,-90.071533
